Year,Month,Road User,Number of crash
2014,1,Car driver,7
2014,2,Car driver,10
2014,3,Car driver,12
2014,4,Car driver,9
2014,5,Car driver,6
2014,6,Car driver,14
2014,7,Car driver,11
2014,8,Car driver,15
2014,9,Car driver,10
2014,10,Car driver,12
2014,11,Car driver,12
2014,12,Car driver,18
2015,1,Car driver,41
2015,2,Car driver,27
2015,3,Car driver,27
2015,4,Car driver,26
2015,5,Car driver,43
2015,6,Car driver,39
2015,7,Car driver,33
2015,8,Car driver,39
2015,9,Car driver,38
2015,10,Car driver,42
2015,11,Car driver,37
2015,12,Car driver,35
2016,1,Car driver,30
2016,2,Car driver,15
2016,3,Car driver,41
2016,4,Car driver,40
2016,5,Car driver,27
2016,6,Car driver,27
2016,7,Car driver,27
2016,8,Car driver,32
2016,9,Car driver,26
2016,10,Car driver,34
2016,11,Car driver,26
2016,12,Car driver,31
2017,1,Car driver,35
2017,2,Car driver,29
2017,3,Car driver,37
2017,4,Car driver,40
2017,5,Car driver,35
2017,6,Car driver,36
2017,7,Car driver,42
2017,8,Car driver,52
2017,9,Car driver,31
2017,10,Car driver,30
2017,11,Car driver,43
2017,12,Car driver,52
2018,1,Car driver,46
2018,2,Car driver,39
2018,3,Car driver,53
2018,4,Car driver,39
2018,5,Car driver,44
2018,6,Car driver,35
2018,7,Car driver,37
2018,8,Car driver,50
2018,9,Car driver,51
2018,10,Car driver,34
2018,11,Car driver,44
2018,12,Car driver,40
2019,1,Car driver,55
2019,2,Car driver,38
2019,3,Car driver,49
2019,4,Car driver,48
2019,5,Car driver,50
2019,6,Car driver,48
2019,7,Car driver,34
2019,8,Car driver,48
2019,9,Car driver,48
2019,10,Car driver,50
2019,11,Car driver,45
2019,12,Car driver,54
2020,1,Car driver,30
2020,2,Car driver,35
2020,3,Car driver,46
2020,4,Car driver,33
2020,5,Car driver,24
2020,6,Car driver,28
2020,7,Car driver,45
2020,8,Car driver,35
2020,9,Car driver,49
2020,10,Car driver,44
2020,11,Car driver,38
2020,12,Car driver,41
2021,1,Car driver,31
2021,2,Car driver,37
2021,3,Car driver,49
2021,4,Car driver,32
2021,5,Car driver,33
2021,6,Car driver,41
2021,7,Car driver,43
2021,8,Car driver,39
2021,9,Car driver,21
