Crash ID,State,YYYYMM,Year,Month,Day of week,Time,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Road Userindex,Gender,Ageindex,Speed,Driving experienceindex,National Remoteness Areas,SA4 Name 2016,National LGA Name 2017,National Road Type,Christmas Period,Easter Period,Age Group,Time of day,Age,Road User,Driving experience
20213034,Qld,2021-09,2021,9,Saturday,4:00:00,Multiple,No,No,No,Motorcycle rider,Male,19,41,3,Major Cities of Australia,Brisbane - South,Brisbane (C),Busway,No,No,17_to_25,Night,,,
20213026,Qld,2021-09,2021,9,Wednesday,23:00:00,Multiple,No,No,No,Car passenger,Female,2,20,3,Major Cities of Australia,Ipswich,Ipswich (C),National or State Highway,No,No,0_to_16,Night,22.0,Car passenger,3.0
20213092,Qld,2021-09,2021,9,Saturday,2:00:00,Single,No,No,No,Car driver,Male,47,53,12,Major Cities of Australia,Logan - Beaudesert,Logan (C),Local Road,No,No,40_to_64,Night,,,
20214053,SA,2021-09,2021,9,Thursday,21:00:00,Single,No,No,No,Car driver,Male,24,140,7,Inner Regional Australia,Adelaide - Central and Hills,Adelaide Hills (DC),Sub-Arterial Road,No,No,17_to_25,Night,,,
20213178,Qld,2021-09,2021,9,Sunday,21:00:00,Multiple,No,No,No,Motorcycle rider,Male,52,71,29,Major Cities of Australia,Gold Coast,Gold Coast (C),Local Road,No,No,40_to_64,Night,,,
20211068,NSW,2021-09,2021,9,Tuesday,21:50:00,Single,No,No,No,Car driver,Female,32,97,11,Inner Regional Australia,Central Coast,Central Coast,Arterial Road,No,No,26_to_39,Night,,,
20213026,Qld,2021-09,2021,9,Wednesday,23:00:00,Multiple,No,No,No,Car driver,Male,34,55,15,Major Cities of Australia,Ipswich,Ipswich (C),National or State Highway,No,No,26_to_39,Night,,,
20211169,NSW,2021-09,2021,9,Saturday,8:05:00,Single,No,No,No,Motorcycle rider,Male,26,79,4,Inner Regional Australia,Richmond - Tweed,Tweed,National or State Highway,No,No,26_to_39,Day,,,
20213169,Qld,2021-09,2021,9,Sunday,13:00:00,Single,No,No,No,Car driver,Male,52,63,29,Outer Regional Australia,Wide Bay,South Burnett (R),Sub-Arterial Road,No,No,40_to_64,Day,,,
20211088,NSW,2021-09,2021,9,Saturday,8:30:00,Single,No,No,No,Car passenger,Female,11,20,2,Outer Regional Australia,Riverina,Carrathool,National or State Highway,No,No,0_to_16,Day,,,
20211025,NSW,2021-09,2021,9,Sunday,10:52:00,Single,No,No,No,Car driver,Male,46,143,14,Outer Regional Australia,Central West,Mid-Western Regional,Sub-Arterial Road,No,No,40_to_64,Day,,,
20211011,NSW,2021-09,2021,9,Saturday,6:00:00,Single,No,No,No,Car driver,Male,19,117,2,Inner Regional Australia,Mid North Coast,Port Macquarie-Hastings,National or State Highway,No,No,17_to_25,Day,,,
20211094,NSW,2021-09,2021,9,Saturday,14:50:00,Single,No,No,No,Motorcycle rider,Male,36,138,14,Major Cities of Australia,Hunter Valley exc Newcastle,Port Stephens,Local Road,No,No,26_to_39,Day,,,
20217011,NT,2021-09,2021,9,Sunday,8:25:00,Multiple,No,No,No,Motorcycle rider,Male,71,107,45,Outer Regional Australia,Darwin,Darwin (C),Collector Road,No,No,65_to_74,Day,,,
20213099,Qld,2021-09,2021,9,Saturday,11:00:00,Single,No,No,No,Motorcycle rider,Male,24,94,7,Major Cities of Australia,Moreton Bay - North,Moreton Bay (R),Access Road,No,No,17_to_25,Day,,,
20213016,Qld,2021-09,2021,9,Sunday,11:00:00,Multiple,No,No,No,Car driver,Male,19,100,4,Inner Regional Australia,Logan - Beaudesert,Logan (C),National or State Highway,No,No,17_to_25,Day,,,
20214037,SA,2021-09,2021,9,Saturday,13:00:00,Single,No,No,No,Motorcycle rider,Male,31,103,12,Inner Regional Australia,Barossa - Yorke - Mid North,Clare and Gilbert Valleys (DC),National or State Highway,No,No,26_to_39,Day,,,
20211158,NSW,2021-09,2021,9,Sunday,16:00:00,Multiple,No,No,Yes,Car driver,Female,86,72,44,Outer Regional Australia,New England and North West,Liverpool Plains,Local Road,No,No,75_or_older,Day,,,
20211034,NSW,2021-09,2021,9,Thursday,11:50:00,Single,No,No,No,Motorcycle rider,Male,37,63,14,Inner Regional Australia,New England and North West,Tamworth Regional,Local Road,No,No,26_to_39,Day,,,
20213187,Qld,2021-09,2021,9,Wednesday,7:00:00,Multiple,No,Yes,Yes,Car driver,Male,-999,59,40,Major Cities of Australia,Brisbane - North,Brisbane (C),Sub-Arterial Road,No,No,40_to_64,Day,75.0,Car driver,40.0
20211104,NSW,2021-09,2021,9,Tuesday,8:00:00,Single,No,No,No,Car driver,Male,64,88,27,Inner Regional Australia,Richmond - Tweed,Kyogle,Sub-Arterial Road,No,No,40_to_64,Day,,,
20213124,Qld,2021-09,2021,9,Thursday,9:00:00,Single,No,No,No,Car driver,Male,34,126,12,Inner Regional Australia,Toowoomba,Lockyer Valley (R),National or State Highway,No,No,26_to_39,Day,,,
20211040,NSW,2021-09,2021,9,Thursday,17:00:00,Single,No,No,No,Car driver,Male,20,93,62,Outer Regional Australia,New England and North West,Narrabri,Sub-Arterial Road,No,No,40_to_64,Day,107.0,Car driver,62.0
20213183,Qld,2021-09,2021,9,Wednesday,15:00:00,Single,No,No,No,Motorcycle rider,Male,34,102,14,Major Cities of Australia,Brisbane - North,Brisbane (C),Sub-Arterial Road,No,No,26_to_39,Day,,,
20214055,SA,2021-09,2021,9,Wednesday,11:33:00,Single,No,No,No,Motorcycle rider,Male,74,81,42,Inner Regional Australia,Adelaide - Central and Hills,Adelaide Hills (DC),Arterial Road,No,No,65_to_74,Day,,,
20214007,SA,2021-09,2021,9,Wednesday,8:06:00,Multiple,No,Yes,No,Pedal cyclist,Female,70,30,28,Major Cities of Australia,Adelaide - West,West Torrens (C),Collector Road,No,No,65_to_74,Day,,,
20213066,Qld,2021-09,2021,9,Thursday,19:00:00,Single,No,No,No,Car driver,Female,32,95,14,Remote Australia,Mackay - Isaac - Whitsunday,Isaac (R),Local Road,No,No,26_to_39,Night,,,
20211137,NSW,2021-09,2021,9,Friday,14:30:00,Multiple,No,No,No,Pedal cyclist,Male,68,30,26,Major Cities of Australia,Central Coast,Central Coast,Arterial Road,No,No,65_to_74,Day,,,
20216016,Tas,2021-09,2021,9,Monday,17:55:00,Single,No,No,No,Car driver,Male,68,115,27,Outer Regional Australia,West and North West,Waratah/Wynyard (M),National or State Highway,No,No,65_to_74,Day,,,
20211068,NSW,2021-09,2021,9,Tuesday,21:50:00,Single,No,No,No,Car passenger,Female,6,0,5,Inner Regional Australia,Central Coast,Central Coast,Arterial Road,No,No,0_to_16,Night,,,
20216003,Tas,2021-09,2021,9,Thursday,13:40:00,Single,No,No,No,Car driver,Female,84,113,45,Outer Regional Australia,West and North West,Central Coast (M) (Tas.),Local Road,No,No,75_or_older,Day,,,
20213017,Qld,2021-09,2021,9,Wednesday,20:00:00,Single,No,No,No,Car driver,Male,63,77,29,Major Cities of Australia,Gold Coast,Gold Coast (C),National or State Highway,No,No,40_to_64,Night,,,
20211049,NSW,2021-09,2021,9,Tuesday,13:15:00,Multiple,No,No,No,Car driver,Female,19,79,3,Inner Regional Australia,Coffs Harbour - Grafton,Clarence Valley,Arterial Road,No,No,17_to_25,Day,,,
20213123,Qld,2021-09,2021,9,Tuesday,8:00:00,Single,No,No,No,Car driver,Male,26,136,7,Major Cities of Australia,Ipswich,Ipswich (C),National or State Highway,No,No,26_to_39,Day,,,
20211073,NSW,2021-09,2021,9,Wednesday,6:13:00,Single,No,No,No,Motorcycle rider,Male,32,101,12,Major Cities of Australia,Sydney - Inner South West,Canterbury-Bankstown,National or State Highway,No,No,26_to_39,Day,,,
20214058,SA,2021-09,2021,9,Friday,13:45:00,Multiple,No,Yes,No,Car driver,Male,77,114,44,Major Cities of Australia,Adelaide - South,Mitcham (C),National or State Highway,No,No,75_or_older,Day,,,
20211068,NSW,2021-09,2021,9,Tuesday,21:50:00,Single,No,No,No,Car passenger,Male,10,0,5,Inner Regional Australia,Central Coast,Central Coast,Arterial Road,No,No,0_to_16,Night,,,
20213043,Qld,2021-09,2021,9,Friday,23:00:00,Single,No,No,No,Pedestrian,Male,19,0,3,Inner Regional Australia,Gold Coast,Scenic Rim (R),Local Road,No,No,17_to_25,Night,,,
20211140,NSW,2021-09,2021,9,Wednesday,20:00:00,Single,No,No,No,Pedestrian,Male,38,0,13,Major Cities of Australia,Capital Region,Queanbeyan-Palerang Regional,Arterial Road,No,No,26_to_39,Night,,,
20213026,Qld,2021-09,2021,9,Wednesday,23:00:00,Multiple,No,No,No,Car driver,Female,37,119,13,Major Cities of Australia,Ipswich,Ipswich (C),National or State Highway,No,No,26_to_39,Night,,,
20213026,Qld,2021-09,2021,9,Wednesday,23:00:00,Multiple,No,No,No,Car passenger,Male,39,20,14,Major Cities of Australia,Ipswich,Ipswich (C),National or State Highway,No,No,26_to_39,Night,,,
20216013,Tas,2021-09,2021,9,Tuesday,12:58:00,Single,No,No,No,Pedestrian,Female,4,0,2,Inner Regional Australia,Hobart,Glenorchy (C),Sub-Arterial Road,No,No,0_to_16,Day,,,
20211052,NSW,2021-09,2021,9,Monday,8:30:00,Single,No,No,Yes,Pedestrian,Male,39,0,11,Major Cities of Australia,Newcastle and Lake Macquarie,Lake Macquarie,Arterial Road,No,No,26_to_39,Day,,,
20214067,SA,2021-09,2021,9,Friday,14:45:00,Single,No,No,No,Pedestrian,Female,90,0,45,Major Cities of Australia,Adelaide - West,Charles Sturt (C),Arterial Road,No,No,75_or_older,Day,,,
20212153,Vic,2021-08,2021,8,Sunday,1:00:00,Single,No,No,No,Car driver,Male,36,66,12,Major Cities of Australia,Melbourne - North East,Mitchell (S),Local Road,No,No,26_to_39,Night,,,
20211083,NSW,2021-08,2021,8,Friday,18:01:00,Multiple,No,No,Yes,Car driver,Male,35,105,12,Inner Regional Australia,Coffs Harbour - Grafton,Clarence Valley,National or State Highway,No,No,26_to_39,Night,,,
